keyword,search_volume,kd,cpc,competition_level,allintitle_count,kgr,weak_spots,weak_domains,verdict,serp_url
foods for thick hair growth,1600,30,0.97,HIGH,0,0.0,0,,GO,https://www.google.com/search?q=foods%20for%20thick%20hair%20growth&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
spinach for hair growth,1300,2,0.05,LOW,0,0.0,1,ogariolondon.com (DR 18),GO,https://www.google.com/search?q=spinach%20for%20hair%20growth&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
spinach hair growth,1300,6,0.05,LOW,0,0.0,1,ogariolondon.com (DR 18),GO,https://www.google.com/search?q=spinach%20hair%20growth&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
foods for thin hair,1300,18,0.47,HIGH,0,0.0,0,,GO,https://www.google.com/search?q=foods%20for%20thin%20hair&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
thick hair foods,880,24,0.46,HIGH,0,0.0,0,,GO,https://www.google.com/search?q=thick%20hair%20foods&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
best foods for thick hair growth,320,23,1.16,HIGH,0,0.0,1,beautifulyoumd.com (DR 12),GO,https://www.google.com/search?q=best%20foods%20for%20thick%20hair%20growth&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
spinach juice for hair growth,170,0,,LOW,0,0.0,0,,GO,https://www.google.com/search?q=spinach%20juice%20for%20hair%20growth&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
to get thick hair foods,170,,1.4,MEDIUM,0,0.0,0,,GO,https://www.google.com/search?q=to%20get%20thick%20hair%20foods&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
foods that make hair thick,170,21,1.4,MEDIUM,0,0.0,0,,GO,https://www.google.com/search?q=foods%20that%20make%20hair%20thick&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
spinach for hair loss,110,6,0.15,LOW,0,0.0,1,ogariolondon.com (DR 18),GO,https://www.google.com/search?q=spinach%20for%20hair%20loss&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
does spinach helps hair growth,70,3,0.09,LOW,0,0.0,1,ogariolondon.com (DR 18),GO,https://www.google.com/search?q=does%20spinach%20helps%20hair%20growth&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
does spinach help hair growth,70,8,0.09,LOW,0,0.0,1,ogariolondon.com (DR 18),GO,https://www.google.com/search?q=does%20spinach%20help%20hair%20growth&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
is spinach good for hair growth,70,4,0.08,LOW,0,0.0,1,ogariolondon.com (DR 18),GO,https://www.google.com/search?q=is%20spinach%20good%20for%20hair%20growth&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
spinach for hair,70,5,,LOW,0,0.0,1,ogariolondon.com (DR 18),GO,https://www.google.com/search?q=spinach%20for%20hair&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
benefits of spinach for hair,50,12,0.02,LOW,0,0.0,1,ogariolondon.com (DR 18),GO,https://www.google.com/search?q=benefits%20of%20spinach%20for%20hair&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
spinach benefits for hair,50,12,0.02,LOW,0,0.0,1,ogariolondon.com (DR 18),GO,https://www.google.com/search?q=spinach%20benefits%20for%20hair&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
thick hair biotin rich foods,50,10,0.15,HIGH,0,0.0,1,rhrli.com (DR 19),GO,https://www.google.com/search?q=thick%20hair%20biotin%20rich%20foods&hl=en&gl=US&ie=UTF-8&uule=w+CAIQIFISCQs2MuSEtepUEUK33kOSuTsc
