Rank,Title,Company,Location,Work_Type,Relevancy_Score,Salary,URL,Platform,Reasoning
1,Senior SEO Strategist,BX Studio,Canada (Remote),Remote,98,,https://www.linkedin.com/jobs/view/4429876071/,LinkedIn,exact SEO title match; strong skills overlap; senior level fits 5+ yrs; remote Canada
2,SEO Specialist,PatientPartners,Canada (Remote),Remote,96,,https://www.linkedin.com/jobs/view/4432107456/,LinkedIn,exact SEO title match; strong skills overlap; specialist fits 5+ yrs; remote Canada
3,SEO Strategist,POD Marketing,"Calgary, AB T2P 1B4",Unknown,93,,https://ca.indeed.com/viewjob?jk=5b5c17c1e6f22b13,Indeed,exact SEO title match; strong skills overlap; specialist fits 5+ yrs; Alberta location
4,SEO Specialist,Often replies in 1 day,"Calgary, AB T2G 1R7",Unknown,93,"$55,000–$75,000 a year",https://ca.indeed.com/viewjob?jk=561ab641ee653b50,Indeed,exact SEO title match; strong skills overlap; specialist fits 5+ yrs; Alberta location
5,Remote Digital Marketing – SEO & AI,Twine,Canada (Remote),Remote,91,,https://www.linkedin.com/jobs/view/4429848593/,LinkedIn,digital marketing + SEO; strong skills overlap; mid-level; remote Canada
6,Digital Marketing & Lead Generation Specialist (Home Services / Construction / Renovation),We temp glass inc.,"Markham, ON",Unknown,91,$20–$28 an hour,https://ca.indeed.com/viewjob?jk=ee42b3fc69f0ec38,Indeed,lead gen specialist; strong skills overlap; specialist fits 5+ yrs; Ontario location
7,Search Discoverability Specialist (SEO/ AEO),Nvision Solutions,"Markham, ON L3R 9X5",Unknown,91,"$75,000–$85,000 a year",https://ca.indeed.com/viewjob?jk=8c92a118c6e0c351,Indeed,SEO role; strong skills overlap; specialist fits 5+ yrs; Ontario location
8,Digital Marketing & Client Acquisition Specialist,Redefine Immigration Solutions Inc.,"Surrey, BC V3W 1E6",Unknown,86,"$38,000–$50,000 a year",https://ca.indeed.com/viewjob?jk=9394493fe010b917,Indeed,digital marketing + client acquisition; strong skills overlap; specialist fits 5+ yrs; Vancouver/BC location
9,Social Media & Marketing Coordinator– Women’s Personal Training Studio,Fit To Be Healthy Fitness & Wellness,"Vancouver, BC V6B 2T5",Unknown,83,$20 an hour,https://ca.indeed.com/viewjob?jk=7d3c16d47a54812c,Indeed,marketing coordinator; strong skills overlap; coordinator level; Vancouver/BC location
10,Content Creator & Digital Marketing Specialist,The Vensuris Group,"Sarnia, ON",Unknown,80,"$46,335.14–$70,500.00 a year",https://ca.indeed.com/viewjob?jk=1971b888ac101378,Indeed,digital marketing specialist; good skills overlap; specialist fits 5+ yrs; Ontario location
11,Salesforce Marketing Cloud Email Developer,Bell,"Mississauga, ON L4W 1R3",Unknown,78,,https://ca.indeed.com/viewjob?jk=1361e7a54bceea7a,Indeed,marketing role; strong skills overlap; mid-level; Ontario location
12,Senior Marketing Automation & AI Analyst,Coveo,"Montreal, QC (Hybrid)",Hybrid,77,,https://www.linkedin.com/jobs/view/4432886835/,LinkedIn,marketing automation; good skills overlap; senior level fits 5+ yrs; Ontario location
