Rank,Title,Company,Location,Work_Type,Relevancy_Score,Salary,URL,Platform,Reasoning
1,Senior SEO Specialist,Konstruct Digital,"Calgary, AB (Hybrid)",Hybrid,88,,https://www.linkedin.com/jobs/view/4432649699/,LinkedIn,"Title: Senior SEO Specialist exact match (28/30). Skills: SEO specialist role, likely covers technical/on-page/off-page (30/35). Experience: senior level, 5+ years likely required (13/15). Location: Calgary AB hybrid â€” matches target (17/20)."
2,Search Discoverability Specialist (SEO/ AEO),Nvision Solutions,"Markham, ON L3R 9X5",Unknown,84,"$75,000â€“$85,000 a year",https://ca.indeed.com/viewjob?jk=8c92a118c6e0c351,Indeed,"Title: SEO/AEO specialist, strong match (26/30). Skills: SEO + AEO (answer engine optimization), likely covers technical/on-page (28/35). Experience: specialist level (12/15). Location: Markham ON â€” Ontario match (18/20). Good salary range."
3,Search Experience and Technical SEO Manager (Contract),OpenTable,"Toronto, ON",Unknown,79,$35â€“$45 an hour,https://ca.indeed.com/viewjob?jk=0a124b15fbc2504c,Indeed,"Title: Technical SEO Manager, strong SEO match (27/30). Skills: technical SEO, search experience (26/35). Experience: manager level, may want more than 5 years (11/15). Location: Toronto ON (15/20). Contract role."
4,Email and Social Media Marketing Specialist,Experior Financial Group,Canada (Remote),Remote,73,$56K/yr,https://www.linkedin.com/jobs/view/4384809754/,LinkedIn,"Title: Email Marketing Specialist, good match for email skill (22/30). Skills: email marketing + social media, covers key skills (26/35). Experience: specialist level (12/15). Location: Canada remote â€” matches target (13/20)."
5,Email Marketing Specialist (Temporary 6-Month Contract),Borrowell,"Toronto, ON (Remote)",Remote,71,,https://www.linkedin.com/jobs/view/4433386694/,LinkedIn,"Title: Email Marketing Specialist (22/30). Skills: email marketing, likely CRM/automation (25/35). Experience: specialist level (12/15). Location: Toronto remote (12/20). Temporary contract."
6,Content Marketing Specialist,Quadient,"Markham, ON (Hybrid)",Hybrid,69,CA$58.2K/yr - CA$70K/yr,https://www.linkedin.com/jobs/view/4432658293/,LinkedIn,"Title: Content Marketing Specialist (21/30). Skills: content strategy, content marketing (22/35). Experience: specialist level (12/15). Location: Markham ON hybrid â€” Ontario match (14/20). Solid salary."
7,Senior Marketing Specialist,Often replies in 1 day,"Calgary, AB",Unknown,67,"$75,000â€“$95,000 a year",https://ca.indeed.com/viewjob?jk=c306cb2a281aac73,Indeed,"Title: Sr Marketing Specialist, good match (20/30). Skills: senior marketing, likely covers multiple areas (21/35). Experience: senior level, 5+ years (14/15). Location: Calgary AB â€” target location (12/20). Company name is metadata artifact."
8,Marketing Specialist (Remote),Hire Feed,NAMER (Remote),Remote,67,,https://www.linkedin.com/jobs/view/4433355876/,LinkedIn,"Title: Marketing Specialist, decent match (20/30). Skills: general marketing specialist likely covers multiple skills (21/35). Experience: specialist level (12/15). Location: remote, NAMER â€” likely Canada-eligible (14/20). Limited detail."
9,"Media Supervisor, Search",Syneos Health Commercial Solutions,Remote,Remote,65,"$90,000â€“$105,000 a year",https://ca.indeed.com/viewjob?jk=dacbb8b5eb3ef044,Indeed,"Title: Media Supervisor Search â€” search/SEO adjacent (18/30). Skills: search media, paid search (22/35). Experience: supervisor level (12/15). Location: remote â€” matches target (13/20). Strong salary. More paid search than organic SEO."
10,"Associate Director Media, Search",Syneos Health Commercial Solutions,Remote,Remote,63,"$105,000â€“$120,000 a year",https://ca.indeed.com/viewjob?jk=16d7853e8579ee20,Indeed,Title: Associate Director Search â€” search adjacent but senior (17/30). Skills: search media (20/35). Experience: may require more than 5 years (11/15). Location: remote (13/20). High salary but may be overqualified.
11,"Media Supervisor, Search",ã‚µã‚¤ãƒã‚ªã‚¹ãƒ»ãƒ˜ãƒ«ã‚¹,Remote,Remote,62,"$90,000â€“$105,000 a year",https://ca.indeed.com/viewjob?jk=f969e18618f580e7,Indeed,"Title: Media Supervisor Search (18/30). Skills: search media (22/35). Experience: supervisor level (12/15). Location: remote (13/20). Same role as Syneos listing, Japanese company name."
12,"Associate Director Media, Search",ã‚µã‚¤ãƒã‚ªã‚¹ãƒ»ãƒ˜ãƒ«ã‚¹,Remote,Remote,60,"$105,000â€“$120,000 a year",https://ca.indeed.com/viewjob?jk=72be93080c601d11,Indeed,Title: Associate Director Search (17/30). Skills: search media (20/35). Experience: may be overqualified (10/15). Location: remote (13/20). Duplicate of Syneos listing.
13,Marketing Specialist,Scispot,Canada,Unknown,59,,https://ca.indeed.com/viewjob?jk=3ba413dc22d73679,Indeed,Title: Marketing Specialist (20/30). Skills: general marketing (18/35). Experience: specialist level (12/15). Location: Canada remote â€” matches target (9/20). Limited detail.
14,Digital Marketing,TechIsland,Remote,Remote,58,,https://ca.indeed.com/viewjob?jk=9a283fefbd44fc22,Indeed,"Title: Digital Marketing, generic (16/30). Skills: digital marketing likely covers SEO/email/content (20/35). Experience: unclear level (10/15). Location: remote (12/20). Very limited detail."
15,Paid Media Consultant,autoTRADER.ca,Remote,Remote,57,"$75,000â€“$80,000 a year",https://ca.indeed.com/viewjob?jk=e8a7d1638231d0bb,Indeed,"Title: Paid Media â€” paid not organic SEO (15/30). Skills: paid media, search advertising (20/35). Experience: consultant level (12/15). Location: remote (12/20). Good salary. Partial skill overlap."
16,Marketing Specialist,TGI Connect,"Stoney Creek, ON L8G 1B6",Unknown,56,"$50,000â€“$65,000 a year",https://ca.indeed.com/viewjob?jk=9ab197cd7a0e6c41,Indeed,Title: Marketing Specialist (20/30). Skills: general marketing (16/35). Experience: specialist level (12/15). Location: Stoney Creek ON (10/20). Decent salary.
17,Marketing Specialist,Water Technologies,"Toronto, ON M6P 2A5",Unknown,56,,https://ca.indeed.com/viewjob?jk=7e49ca98704fcddb,Indeed,Title: Marketing Specialist (20/30). Skills: general marketing (16/35). Experience: specialist level (12/15). Location: Toronto ON (10/20). Missing salary info.
18,Paid Search Coordinator,Klick Health,"Toronto, ON",Unknown,55,"$50,000â€“$60,000 a year",https://ca.indeed.com/viewjob?jk=7518c6399ef0c53f,Indeed,Title: Paid Search Coordinator (17/30). Skills: paid search/SEM (18/35). Experience: coordinator level (10/15). Location: Toronto ON (12/20). Paid search adjacent to SEO skills.
19,Digital Media Specialist,DAC Group / Canada Ltd.,"Toronto, ON",Unknown,54,"$55,000â€“$75,000 a year",https://ca.indeed.com/viewjob?jk=40aed366c1c510c3,Indeed,"Title: Digital Media Specialist (18/30). Skills: digital media, likely includes search/display (18/35). Experience: specialist level (10/15). Location: Toronto ON (10/20). DAC is an agency."
20,Marketing Coordinator,Foodtastic,"Mississauga, ON",Unknown,54,"$60,000â€“$65,000 a year",https://ca.indeed.com/viewjob?jk=e078ba3ab15ffa44,Indeed,Title: Marketing Coordinator (21/30). Skills: general marketing coordination (14/35). Experience: coordinator level (10/15). Location: Mississauga ON (11/20). Good salary.
21,Marketing and Engagement Coordinator,Sierra Club BC,,Unknown,54,"$60,000â€“$72,600 a year",https://ca.indeed.com/viewjob?jk=8ec6aa241abe4945,Indeed,Title: Marketing Coordinator (21/30). Skills: marketing + engagement (16/35). Experience: coordinator level (10/15). Location: BC â€” Vancouver area likely (7/20). Missing location data.
22,Paid Media Specialist,D2L,Canada (Remote),Remote,53,,https://www.linkedin.com/jobs/view/4395735137/,LinkedIn,Title: Paid Media Specialist (15/30). Skills: paid media (18/35). Experience: specialist level (12/15). Location: Canada remote (10/20). More paid than organic SEO.
