Rank,Title,Company,Location,Work_Type,Distance_km,Commute_Estimate,Relevancy_Score,Industrial_Relevance,Salary,URL,Platform,Reasoning
1,"Specialist, Digital Content",Definity Financial Corporation,"Toronto, ON",Unknown,,,77,Insurance/Finance,"$59,300–$109,200 a year",https://ca.indeed.com/viewjob?jk=ba38472026926361,,Title:30 Skills:15 Exp:15 Loc:15
2,Junior SEO Specialist,Let's Get Moving,"Mississauga, ON",Unknown,,,77,None detected,$20–$25 an hour,https://ca.indeed.com/viewjob?jk=9e269a4b9b35f2dc,,Title:30 Skills:15 Exp:15 Loc:15
3,Content Marketing & SEO Specialist,,Toronto,Unknown,,,75,None detected,,https://fi.linkedin.com/jobs/view/content-marketing-seo-specialist-at-iqm-quantum-computers-4049216801,,Title:30 Skills:15 Exp:15 Loc:15
4,Volunteer SEO Specialist | Connecting Stories CIC,,Toronto,Unknown,,,75,Automotive,,https://uk.linkedin.com/jobs/view/volunteer-seo-specialist-connecting-stories-cic-at-connecting-stories-4244693885,,Title:30 Skills:15 Exp:15 Loc:15
5,Ecommerce User Experience & SEO Specialist,,Toronto,Unknown,,,75,E-commerce/Retail,,https://www.linkedin.com/jobs/view/ecommerce-user-experience-seo-specialist-at-vida-shoes-international-4409723302,,Title:30 Skills:15 Exp:15 Loc:15
6,SEO Content Specialist (German speaking),,Toronto,Unknown,,,75,None detected,,https://ee.linkedin.com/jobs/view/seo-content-specialist-german-speaking-at-wise-4046510869,,Title:30 Skills:15 Exp:15 Loc:15
7,SEO - Ecommerce Optimization Specialist,,Toronto,Unknown,,,75,E-commerce/Retail,,https://www.linkedin.com/jobs/view/seo-ecommerce-optimization-specialist-at-lateam-partners-4112292070,,Title:30 Skills:15 Exp:15 Loc:15
8,SEO and Digital Marketing Strategist,,Toronto,Unknown,,,75,None detected,,https://www.linkedin.com/jobs/view/seo-and-digital-marketing-strategist-at-nantahala-outdoor-center-4190826401,,Title:30 Skills:15 Exp:15 Loc:15
9,Website & Digital Content Specialist (Contract),TORONTO HYUNDAI,"North York, ON",Unknown,,,72,Automotive,$17.60–$20.00 an hour,https://ca.indeed.com/viewjob?jk=1757a67273394cf8,,Title:30 Skills:10 Exp:15 Loc:15
10,Regional SEO Specialist - Regional Brand & Growth Marketing,,Ontario,Unknown,,,70,None detected,,https://sg.linkedin.com/jobs/view/regional-seo-specialist-regional-brand-growth-marketing-at-shopee-4064758453,,Title:30 Skills:15 Exp:15 Loc:10
