#,Job Title,Company,Location,Platform,Date Posted,Relevancy Score,Work Type,Link,Search Query
1,SEO Specialist (1-Year Contract),DAC Group,"Toronto, ON",Eluta.ca,Not specified,7,Not specified,,SEO Specialist
2,Digital Marketing SEO Specialist,Leadbright Inc.,"Toronto, ON - Work Remotely",Eluta.ca,Not specified,7,Remote,,SEO Specialist
3,SEO Specialist (1-Year Contract),DAC,"Toronto, ON",LinkedIn,Past week,7,Not specified,,SEO Coordinator
4,SEO Strategist (Remote Canada) - Future Opening,Directive,"Toronto, ON (Remote)",LinkedIn,Past week,7,Remote,,SEO Specialist
5,Digital Marketing (SEO/SEM/Social) Specialist,Web Sharx,"Toronto, ON",Eluta.ca,Not specified,6,Not specified,,Digital Marketing Specialist
6,Digital Marketing SEO / SEM Specialist Needed,Home Painters Toronto,"Toronto, ON",LinkedIn,Past week,6,Not specified,,SEO Specialist
7,SEO Specialist,Pleasant Solutions Inc.,"Mississauga, ON",Eluta.ca,Not specified,5,Not specified,,SEO Specialist
8,"Digital Marketing and Sales Executive, B2B SaaS",Digitals AI,"Toronto, ON (Hybrid)",LinkedIn,Past week,5,Hybrid,,SEO Specialist
9,Content Marketing Specialist,Skylight Financial Services Inc. / Baselane,"Toronto, ON",Eluta.ca,Not specified,4,Not specified,,Content Optimization Specialist
10,Digital Marketing Specialist,Fasken Martineau DuMoulin LLP,"Toronto, ON",Eluta.ca,Not specified,4,Not specified,,Content Optimization Specialist
11,Bilingual Digital Marketing and Communications Coordinator,McMillan LLP,"Toronto, ON",Eluta.ca,Not specified,4,Not specified,,Digital Marketing Coordinator
12,Lead Channel Marketing Specialist,Transamerica,"Toronto, ON",Eluta.ca,Not specified,4,Not specified,,Digital Marketing Specialist
13,Senior Performance Marketing Specialist,Clever Digital Marketing Inc.,"Toronto, ON - Work Remotely",Eluta.ca,Not specified,4,Remote,,Digital Marketing Specialist
14,Growth Marketing Specialist,Turo Inc.,"Toronto, ON",Eluta.ca,Not specified,4,Not specified,,Organic Growth Specialist
15,Fall 2026 Marketing Coordinator Co-Op,Shipfusion Inc.,"Toronto, ON",Eluta.ca,Not specified,4,Not specified,,SEO Coordinator
16,Marketing Coordinator - Digital (5-Month Contract),"Royal Conservatory of Music, The","Toronto, ON",Eluta.ca,Not specified,4,Not specified,,SEO Coordinator
17,Digital Marketing Specialist Reddit SEO,Just Energy Group Inc.,"Mississauga, ON",Eluta.ca,Not specified,4,Not specified,,SEO Specialist
18,Digital Marketing Analyst — Master-Level Internship,Vosyn Inc.,"Etobicoke, ON - Work Remotely",Eluta.ca,Not specified,4,Remote,,SEO Specialist
19,Marketing Specialist (Dental Industry),Passion Dental Group,"Toronto, ON",Indeed,Last 3 days,4,Not specified,,Content Optimization Specialist
20,Digital Marketing Analyst,Procom,"Toronto, ON",Indeed,Last 3 days,4,Not specified,,Digital Marketing Coordinator
21,Administrative Assistance / Marketing Coordinator,Not specified,"Toronto, ON",Indeed,Last 3 days,4,Not specified,,Digital Marketing Coordinator
22,Digital Marketing Associate,TAC Security (Canada) Inc.,"Toronto, ON",Indeed,Last 3 days,4,In person,https://ca.indeed.com/viewjob?jk=91beaece423656d4,Digital Marketing Coordinator
23,Content Marketing Specialist,Quadient,"Markham, ON (Hybrid)",,,4,Not specified,,
24,Social Media Marketing Specialist,LUS Brands,"Mississauga, ON (Hybrid)",,,4,Not specified,,
25,Social Media Marketing Specialist,Cella,"Mississauga, ON (Hybrid)",,,4,Not specified,,
26,Digital Marketing Lead,Mine & Yours,Canada (Remote),,,4,Not specified,,
27,Digital Marketing Specialist,Fasken,"Toronto, ON",LinkedIn,Past week,4,Not specified,,Content Optimization Specialist
28,Digital Marketing Specialist (12 month-Contract),Richardson Wealth,"Toronto, ON (Hybrid)",LinkedIn,Past week,4,Hybrid,,Content Optimization Specialist
29,Clinic Marketing Specialist,Vos Collection,"Toronto, ON",LinkedIn,Past week,4,Not specified,,Content Optimization Specialist
30,Marketing Coordinator,COREAQUA,"North York, ON (Hybrid)",LinkedIn,Past week,4,Hybrid,,Digital Marketing Coordinator
31,CRM Marketing Coordinator (12 month FTC),DEPT®,"Toronto, ON",LinkedIn,Past week,4,Not specified,,Digital Marketing Coordinator
32,Marketing Coordinator,myBlueprint,"Toronto, ON (On-site)",LinkedIn,Past week,4,In-person,,Digital Marketing Coordinator
33,Growth Marketing Specialist,Turo,"Toronto, ON",LinkedIn,Past week,4,Not specified,,Digital Marketing Coordinator
34,"Marketing Specialist, Integrated Marketing",Armstrong Fluid Technology,"Toronto, ON (On-site)",LinkedIn,Past week,4,In-person,,Digital Marketing Coordinator
35,Digital Marketing Specialist - Google Ads Specialist,Brock Immigration Services Inc.,"Pickering, ON (Hybrid)",LinkedIn,Past week,4,Hybrid,,Digital Marketing Coordinator
36,Digital Marketing Specialist,Raise,"Toronto, ON",LinkedIn,Past week,4,Not specified,,Digital Marketing Coordinator
37,Marketing Specialist,Multi-Health Systems Inc. (MHS),"North York, ON (Hybrid)",LinkedIn,Past week,4,Hybrid,,Digital Marketing Coordinator
38,"Manager, Digital Marketing (Web) - Origins - Global",DECIEM | THE ABNORMAL BEAUTY COMPANY,"Toronto, ON",LinkedIn,Past week,4,Not specified,,Organic Growth Specialist
39,Product Marketing Coordinator,Insight Global,"Etobicoke, ON (Hybrid)",,,4,Not specified,,
40,Marketing Specialist,Robert Half,"Calgary, AB (Hybrid)",,,4,Not specified,,
41,Online Marketing Specialist (18-Month Contract),BCAA,"Burnaby, BC (Remote)",,,4,Not specified,,
42,"Digital Marketing Manager, GEO",TD,"Toronto, ON (On-site)",LinkedIn,Past week,4,In-person,,SEO Coordinator
43,SEO & PPC Specialist,RC Design,"Newmarket, ON (Hybrid)",LinkedIn,Past week,4,Hybrid,,SEO Specialist
44,"Digital Marketing Specialist, Organic",Sporting Life Group,"Woodbridge, ON (Hybrid)",LinkedIn,Past week,4,Hybrid,,SEO Specialist
45,SEO Content Writer,Inspira Education,"Toronto, ON (Remote)",LinkedIn,Past week,4,Remote,,SEO Specialist
46,Digital Marketing Manager,Granum,"Toronto, ON (Remote)",LinkedIn,Past week,4,Remote,,SEO Specialist
47,"Senior Analyst, Digital Web, Services B2B Marketing",Mastercard,"Toronto, ON (Hybrid)",LinkedIn,Past week,4,Hybrid,,SEO Specialist
48,Digital Marketing Manager,Open People Network (OPN),"Toronto, ON",LinkedIn,Past week,4,Not specified,,SEO Strategist
49,"Coordinator, Brand & Social Media Marketing",Cabot Cape Breton,"Toronto, ON",Eluta.ca,Not specified,3,Not specified,,Digital Marketing Coordinator
50,"Coordinator, Global Marketing",Cabot Cape Breton,"Toronto, ON",Eluta.ca,Not specified,3,Not specified,,Digital Marketing Coordinator
51,Lead Digital Marketing Design Specialist,Simnet Inc.,"Whitby, ON",Eluta.ca,Not specified,3,Not specified,,Digital Marketing Coordinator
52,"Product Marketing, Specialist, Fraud",Interac Corp.,"Toronto, ON",Eluta.ca,Not specified,3,Not specified,,Digital Marketing Specialist
53,Marketing Technology Systems Specialist,Seneca Polytechnic,"Toronto, ON",Eluta.ca,Not specified,3,Not specified,,Digital Marketing Specialist
54,"Specialist, Marketing (Awards and Rankings)",Davies Ward Phillips & Vineberg LLP,"Toronto, ON",Eluta.ca,Not specified,3,Not specified,,Digital Marketing Specialist
55,Digital Media Specialist,University of Toronto,"Toronto, ON",Eluta.ca,Not specified,3,Not specified,,Digital Marketing Specialist
56,Organic Growth Marketing Manager,Phoenix Digital Health Inc.,"Toronto, ON",Eluta.ca,Not specified,3,Not specified,,Organic Growth Specialist
57,SEO/GEO Director,DAC Group,"Toronto, ON",Eluta.ca,Not specified,3,Not specified,,SEO Strategist
58,Performance Marketing Manager,Butterfield & Robinson Inc.,"Toronto, ON",Eluta.ca,Not specified,3,Not specified,,SEO Strategist
59,Webflow Designer / Digital Designer — 2-Month Contract,Electric Mind,"Toronto, ON",Eluta.ca,Not specified,3,Not specified,,SEO Strategist
60,Marketing Automation Specialist,The Minto Group,"Toronto, ON",Indeed,Last 3 days,3,Not specified,,Content Optimization Specialist
61,Content Marketing Specialist,Easily apply,Accuenergy Canada Inc,,,3,Not specified,,
62,SEO Commercial Content Writer,Easily apply,"Toronto, ON",,,3,Not specified,,
63,Marketing Director Breast Cancer,Novartis,"Toronto, ON",,,3,Not specified,,
64,Marketing Director Breast Cancer,,"Marketing Director Breast CancerNovartisToronto, ONFull-time",,,3,Not specified,,
